Account Transactions
C Cubed Training
Date Range: 2025-01-01 to 2025-11-12
Report Type: Cash Basis (Paid)
ACCOUNT NUMBER,DATE,DESCRIPTION,DEBIT (In Business Currency),CREDIT (In Business Currency),BALANCE (In Business Currency)
,Cash on Hand,,,,
Starting Balance,,,,,"$15,094.68"
,2025-09-09,Papa's Italian,,$24.74,"$18,265.73"
,2025-09-09,PAX8 Donation,"$19,750.00",,"$38,015.73"
,2025-09-09,Amazon,,$36.20,"$37,979.53"
,2025-09-10,Verizon,,$929.04,"$37,050.49"
,2025-09-10,Little Caesar's,,$21.50,"$37,028.99"
,2025-09-10,Sam's Club,,$100.93,"$36,928.06"
,2025-09-11,Amazon,,$90.81,"$36,837.25"
,2025-09-11,Little Caesar's,,$18.91,"$36,818.34"
,2025-09-11,Transfer to J & M for accounting,,"$1,000.00","$35,818.34"
,2025-09-11,Love's,,$43.00,"$35,775.34"
,2025-09-12,Hotels dot com,,"$1,391.15","$34,384.19"
,2025-09-12,Remove Background,,$0.01,"$34,384.18"
,2025-09-12,Remove background,,$1.00,"$34,383.18"
,2025-09-14,7-11,,$23.94,"$34,359.24"
,2025-09-15,Glass Force,,"$1,242.24","$33,117.00"
,2025-09-15,Walmart,,$66.70,"$33,050.30"
,2025-09-16,Papa Italian's,,$24.16,"$33,026.14"
,2025-09-16,SECOM,,$64.95,"$32,961.19"
,2025-09-16,San Isabel,,$257.87,"$32,703.32"
,2025-09-16,Maverick,,$35.76,"$32,667.56"
,2025-09-17,Little Caesar's,,$21.50,"$32,646.06"
,2025-09-17,Altitude,,$56.03,"$32,590.03"
,2025-09-17,Walmart,,$102.22,"$32,487.81"
,2025-09-17,J & M Solutions,,"$2,000.00","$30,487.81"
,2025-09-18,Little Caesars,,$15.04,"$30,472.77"
,2025-09-19,City of Walsenburg,,$138.96,"$30,333.81"
,2025-09-19,Amazon,,$52.28,"$30,281.53"
,2025-09-19,International Card Fee,,$0.40,"$30,281.13"
,2025-09-19,Remove Background,,$49.95,"$30,231.18"
,2025-09-19,Science Grant,"$8,857.00",,"$39,088.18"
,2025-09-19,Walmart,,$45.75,"$39,042.43"
,2025-09-20,Amazon,,$342.51,"$38,699.92"
,2025-09-20,Little Caesar's,,$23.65,"$38,676.27"
,2025-09-21,Pocketprep,,$49.99,"$38,626.28"
,2025-09-21,7-11,,$40.27,"$38,586.01"
,2025-09-21,TA Express,,$37.01,"$38,549.00"
,2025-09-21,Amazon,,$11.83,"$38,537.17"
,2025-09-21,Amazon,,$21.45,"$38,515.72"
,2025-09-22,Revbotics,,$871.43,"$37,644.29"
,2025-09-22,US Store - Bambulab,,$391.05,"$37,253.24"
,2025-09-23,Papa Italians,,$23.19,"$37,230.05"
,2025-09-23,National Cyber League,,$45.00,"$37,185.05"
,2025-09-23,Walmart,,$20.00,"$37,165.05"
,2025-09-24,Little Caesar's,,$21.50,"$37,143.55"
,2025-09-24,Loaf N Jug,,$30.99,"$37,112.56"
,2025-09-24,Walmart,,$51.03,"$37,061.53"
,2025-09-25,Little Caesars,,$10.81,"$37,050.72"
,2025-09-26,Per Pupil Funding,"$9,360.05",,"$46,410.77"
,2025-09-26,Amazon - Hard Drives,,$106.12,"$46,304.65"
,2025-09-26,Amazon,,$84.96,"$46,219.69"
,2025-09-26,Walmart,,$42.75,"$46,176.94"
,2025-09-28,SP Andymark,,"$1,150.61","$45,026.33"
,2025-09-28,7-11,,$28.30,"$44,998.03"
,2025-09-29,Walmart,,$6.82,"$44,991.21"
,2025-09-29,Walmart,,$42.76,"$44,948.45"
,2025-09-30,Little Caesar's,,$27.95,"$44,920.50"
,2025-09-30,Papa Italians,,$24.74,"$44,895.76"
,2025-09-30,PB&T Bank,,"$1,500.00","$43,395.76"
,2025-10-01,Amazon,,$317.68,"$43,078.08"
,2025-10-01,Amazon - Ink Toner,,"$1,005.26","$42,072.82"
,2025-10-01,Albertson's,,$30.36,"$42,042.46"
,2025-10-01,Amazon - Hardware,,$192.96,"$41,849.50"
,2025-10-01,Little Caesar's,,$9.73,"$41,839.77"
,2025-10-01,Little Ceasars,,$25.82,"$41,813.95"
,2025-10-01,Amazon - Server items,,$172.28,"$41,641.67"
,2025-10-03,Antler's Hotel,,$106.51,"$41,535.16"
,2025-10-04,Circle K,,$45.11,"$41,490.05"
,2025-10-04,Metro parking,,$17.99,"$41,472.06"
,2025-10-05,Safeway,,$13.75,"$41,458.31"
,2025-10-05,7-11,,$46.79,"$41,411.52"
,2025-10-06,Papa Italian,,$23.31,"$41,388.21"
,2025-10-06,Walmart,,$28.20,"$41,360.01"
,2025-10-07,STEMx Confernce,,$588.73,"$40,771.28"
,2025-10-07,Sams Club,,$42.98,"$40,728.30"
,2025-10-07,Sam's Club,,$98.45,"$40,629.85"
,2025-10-07,Little Ceasar's,,$21.50,"$40,608.35"
,2025-10-07,CSU-Pueblo,,$344.00,"$40,264.35"
,2025-10-07,Hotels.com,,$254.88,"$40,009.47"
,2025-10-07,National Cyber League,,$45.00,"$39,964.47"
,2025-10-08,CSU-P,,$344.00,"$39,620.47"
,2025-10-08,Little Ceasars,,$10.73,"$39,609.74"
,2025-10-10,Verizon,,$942.74,"$38,667.00"
,2025-10-12,Dollar General,,$17.59,"$38,649.41"
,2025-10-12,7-11,,$18.00,"$38,631.41"
,2025-10-12,Gub Gubs,,$65.74,"$38,565.67"
,2025-10-13,Papa Italian,,$34.17,"$38,531.50"
,2025-10-13,Amazon,,$63.76,"$38,467.74"
,2025-10-13,Amazon,,$8.42,"$38,459.32"
,2025-10-13,Walmart,,$34.68,"$38,424.64"
,2025-10-14,National Cyber League,,$55.00,"$38,369.64"
,2025-10-14,Circle K,,$33.00,"$38,336.64"
,2025-10-14,Walmart,,$48.97,"$38,287.67"
,2025-10-15,Little Caesar's,,$21.50,"$38,266.17"
,2025-10-15,Altitude,,$41.02,"$38,225.15"
,2025-10-16,Little Caesar's,,$24.85,"$38,200.30"
,2025-10-16,SECOM,,$64.95,"$38,135.35"
,2025-10-16,San Isabel,,$157.94,"$37,977.41"
,2025-10-17,New Horizons,,$17.00,"$37,960.41"
,2025-10-17,Sam's Club,,$138.83,"$37,821.58"
,2025-10-17,J & M Solutions,,"$2,000.00","$35,821.58"
,2025-10-18,Golden Corral,,$142.32,"$35,679.26"
,2025-10-18,Maverick,,$61.02,"$35,618.24"
,2025-10-18,City of Walsenburg,,$99.38,"$35,518.86"
,2025-10-18,Maverick,,$41.85,"$35,477.01"
,2025-10-18,Maverick,,$22.10,"$35,454.91"
,2025-10-18,Southwest Grill,,$47.70,"$35,407.21"
,2025-10-19,SP AndyMark Robotics,,"$1,588.44","$33,818.77"
,2025-10-19,International Fee,,$0.40,"$33,818.37"
,2025-10-19,Remove Background,,$49.95,"$33,768.42"
,2025-10-19,7-11,,$40.27,"$33,728.15"
,2025-10-21,Staples,,$35.51,"$33,692.64"
,2025-10-21,Loaf N Jug,,$40.03,"$33,652.61"
,2025-10-21,Walmart,,$61.47,"$33,591.14"
,2025-10-23,Little Caesars,,$11.73,"$33,579.41"
,2025-10-23,Walmart,,$24.34,"$33,555.07"
,2025-10-23,Subway,,$34.93,"$33,520.14"
,2025-10-24,Altitude,,$50.12,"$33,470.02"
,2025-10-24,Pitsco Education,,$325.00,"$33,145.02"
,2025-10-25,Little Caesares,,$30.10,"$33,114.92"
,2025-10-25,Papa Italians,,$25.89,"$33,089.03"
,2025-10-26,7-11,,$28.30,"$33,060.73"
,2025-10-26,Amazon,,$566.88,"$32,493.85"
,2025-10-26,Loaf N Jug,,$31.01,"$32,462.84"
,2025-10-27,Papa Italians,,$18.44,"$32,444.40"
,2025-10-27,VIOC,,$111.45,"$32,332.95"
,2025-10-27,Walmart,,$36.20,"$32,296.75"
,2025-10-27,Papa Italian's,,$21.86,"$32,274.89"
,2025-10-28,BOCES,"$8,914.33",,"$41,189.22"
,2025-10-28,Cirlce K,,$2.17,"$41,187.05"
,2025-10-28,Little Caesar's,,$26.89,"$41,160.16"
,2025-10-30,PB&T,,"$1,500.00","$39,660.16"
,2025-10-30,Little Caesar's,,$10.73,"$39,649.43"
,2025-10-30,Walmart,,$40.56,"$39,608.87"
,2025-10-30,Amazon,,$116.58,"$39,492.29"
,2025-10-30,Dollar General,,$19.44,"$39,472.85"
,2025-10-31,TST Walsenburg,,$27.92,"$39,444.93"
,2025-10-31,Harbor Freight,,$8.59,"$39,436.34"
,2025-10-31,Loaf N Jug,,$42.95,"$39,393.39"
,2025-10-31,Little Ceasar's,,$21.50,"$39,371.89"
,2025-10-31,Sam's Club,,$65.62,"$39,306.27"
,2025-11-02,Mod Pizza,,$74.64,"$39,231.63"
,2025-11-02,7-11,,$40.27,"$39,191.36"
,2025-11-03,Papa Italians,,$23.31,"$39,168.05"
,2025-11-03,Walmart,,$25.72,"$39,142.33"
,2025-11-03,Loaf N Jug,,$31.01,"$39,111.32"
,2025-11-04,Little Caesar's,,$21.50,"$39,089.82"
,2025-11-05,The Public House,,$13.25,"$39,076.57"
,2025-11-05,Loaf N Jug,,$33.76,"$39,042.81"
,2025-11-05,Little Caesar's,,$27.15,"$39,015.66"
,2025-11-05,Harbor Freight,,$64.53,"$38,951.13"
,2025-11-06,Lowe's,,$113.26,"$38,837.87"
,2025-11-06,Dollar General,,$8.17,"$38,829.70"
,2025-11-07,Safeway,,$59.93,"$38,769.77"
,2025-11-07,UPS Shipping,,"$1,812.80","$36,956.97"
,2025-11-08,BCS Bar B Q,,$34.33,"$36,922.64"
,2025-11-09,7-11,,$22.85,"$36,899.79"
,2025-11-10,Verizon,,$899.32,"$36,000.47"
,2025-11-10,Checks Unlimited,,$67.85,"$35,932.62"
Totals and Ending Balance,,,"$131,013.51","$110,175.57","$35,932.62"
Balance Change,,,"$20,837.94",,
""
,Wave Payments,,,,
Starting Balance,,,,,$0.00
,2025-03-11,Checkout Payment: Pueblo STEM Camp,$24.27,,$24.27
,2025-03-12,Checkout Payment: Pueblo STEM Camp,$24.27,,$48.54
,2025-03-12,Checkout Payment: Pueblo STEM Camp,$24.27,,$72.81
,2025-03-13,Checkout Payment: Florence STEM Camp,$24.27,,$97.08
,2025-03-26,Checkout Payment: Pueblo STEM Camp,$24.27,,$121.35
,2025-03-27,Checkout Payment: Pueblo STEM Camp,$24.27,,$145.62
,2025-04-04,Checkout Payment: Pueblo STEM Camp,$24.27,,$169.89
,2025-05-03,Checkout Payment: Walsenburg STEM Camp,$24.27,,$194.16
,2025-05-03,Checkout Payment: Pueblo STEM Camp,$24.27,,$218.43
,2025-05-15,Checkout Payment: Florence STEM Camp,$24.15,,$242.58
,2025-05-16,Checkout Payment: Florence STEM Camp,$24.27,,$266.85
,2025-05-16,Checkout Payment: Florence STEM Camp,$24.27,,$291.12
,2025-05-19,Checkout Payment: Pueblo STEM Camp,$24.27,,$315.39
,2025-05-19,Checkout Refund: Florence STEM Camp,,$24.15,$291.24
,2025-05-19,Checkout Refund: Florence STEM Camp,,$24.27,$266.97
,2025-05-19,Checkout Refund: Florence STEM Camp,,$24.27,$242.70
,2025-05-19,Checkout Refund: Florence STEM Camp,,$24.27,$218.43
,2025-05-20,Checkout Payment: Pueblo STEM Camp,$24.27,,$242.70
,2025-05-20,Checkout Payment: Pueblo STEM Camp,$24.27,,$266.97
,2025-05-26,Checkout Payment: Pueblo STEM Camp,$24.27,,$291.24
,2025-05-28,Checkout Payment: PAX8 Member Donation - Thankyou!,$72.82,,$364.06
,2025-07-09,Checkout Payment: Provide Lunch for the Week of Camp,$485.50,,$849.56
,2025-07-11,Jonathan Haas - Payment for Invoice #1,$485.50,,"$1,335.06"
Totals and Ending Balance,,,"$1,432.02",$96.96,"$1,335.06"
Balance Change,,,"$1,335.06",,
""
,2025 Summer Stem Camp,,,,
Starting Balance,,,,,$0.00
,2025-03-11,Checkout Payment: Pueblo STEM Camp,,$25.00,$25.00
,2025-03-12,Checkout Payment: Pueblo STEM Camp,,$25.00,$50.00
,2025-03-12,Checkout Payment: Pueblo STEM Camp,,$25.00,$75.00
,2025-03-13,Checkout Payment: Florence STEM Camp,,$25.00,$100.00
,2025-03-13,Summer Camp,,$48.54,$148.54
,2025-03-14,Summer Camp,,$48.54,$197.08
,2025-03-17,Summer Camp Sign Up,,$24.27,$221.35
,2025-03-26,Checkout Payment: Pueblo STEM Camp,,$25.00,$246.35
,2025-03-27,Checkout Payment: Pueblo STEM Camp,,$25.00,$271.35
,2025-03-28,Summer Camp,,$24.27,$295.62
,2025-03-31,Summer Camp,,$24.27,$319.89
,2025-04-04,Checkout Payment: Pueblo STEM Camp,,$25.00,$344.89
,2025-04-08,Wave Transaction,,$24.27,$369.16
,2025-05-03,Checkout Payment: Walsenburg STEM Camp,,$25.00,$394.16
,2025-05-03,Checkout Payment: Pueblo STEM Camp,,$25.00,$419.16
,2025-05-06,STEM Camp Payment,,$48.54,$467.70
,2025-05-15,Checkout Payment: Florence STEM Camp,,$25.00,$492.70
,2025-05-16,Checkout Payment: Florence STEM Camp,,$25.00,$517.70
,2025-05-16,Checkout Payment: Florence STEM Camp,,$25.00,$542.70
,2025-05-19,Checkout Payment: Pueblo STEM Camp,,$25.00,$567.70
,2025-05-19,Checkout Refund: Florence STEM Camp,$25.00,,$542.70
,2025-05-19,Checkout Refund: Florence STEM Camp,$25.00,,$517.70
,2025-05-19,Checkout Refund: Florence STEM Camp,$25.00,,$492.70
,2025-05-19,Checkout Refund: Florence STEM Camp,$25.00,,$467.70
,2025-05-19,Florence STEM Camp,,$24.15,$491.85
,2025-05-20,Checkout Payment: Pueblo STEM Camp,,$25.00,$516.85
,2025-05-20,Checkout Payment: Pueblo STEM Camp,,$25.00,$541.85
,2025-05-20,STEM Camp Payment,,$48.54,$590.39
,2025-05-21,Refund from Summer Camp ,$72.69,,$517.70
,2025-05-22,Stem Camp,,$48.54,$566.24
,2025-05-26,Checkout Payment: Pueblo STEM Camp,,$25.00,$591.24
,2025-05-28,Checkout Payment: PAX8 Member Donation - Thankyou!,,$75.00,$666.24
,2025-05-28,STEM School payment,,$24.27,$690.51
,2025-06-07,Rotary Club Donation for Summer Camp,,$750.00,"$1,440.51"
,2025-07-09,Checkout Payment: Provide Lunch for the Week of Camp,,$500.00,"$1,940.51"
,2025-07-11,Jonathan Haas - 1 - 25 Campers,,$500.00,"$2,440.51"
,2025-07-11,Payment for Stem Camp - Florence,,$485.50,"$2,926.01"
,2025-07-15,Camp Tuition,,$485.50,"$3,411.51"
Totals and Ending Balance,,,$172.69,"$3,584.20","$3,411.51"
Balance Change,,,"$3,411.51",,
""
,Battelle,,,,
Starting Balance,,,,,$0.00
,2025-01-29,Battelle Grant,,"$20,000.00","$20,000.00"
Totals and Ending Balance,,,$0.00,"$20,000.00","$20,000.00"
Balance Change,,,"$20,000.00",,
""
,BOCES,,,,
Starting Balance,,,,,"$41,284.80"
BOC,2025-01-28,BOCES,,"$6,852.64","$48,137.44"
BOC,2025-02-27,EdRenvisioned,,"$6,876.78","$55,014.22"
BOC,2025-03-28,BOCES,,"$6,876.78","$61,891.00"
BOC,2025-04-28,EduReenv BOCES,,"$6,876.78","$68,767.78"
BOC,2025-05-28,BOCES,,"$6,876.78","$75,644.56"
BOC,2025-06-27,BOCES,,"$6,876.78","$82,521.34"
BOC,2025-07-28,BOCES,,"$9,805.77","$92,327.11"
BOC,2025-08-28,BOCES,,"$8,914.33","$101,241.44"
BOC,2025-09-05,BOCES,,$445.72,"$101,687.16"
BOC,2025-09-26,Per Pupil Funding,,"$9,360.05","$111,047.21"
BOC,2025-10-28,BOCES,,"$8,914.33","$119,961.54"
Totals and Ending Balance,,,$0.00,"$78,676.74","$119,961.54"
Balance Change,,,"$78,676.74",,
""
,Donations,,,,
Starting Balance,,,,,$0.00
,2025-05-19,Venmo - Cash Out,,$20.00,$20.00
,2025-05-30,PAX 8 Donation,,$72.82,$92.82
,2025-09-09,PAX8 Donation,,"$19,750.00","$19,842.82"
Totals and Ending Balance,,,$0.00,"$19,842.82","$19,842.82"
Balance Change,,,"$19,842.82",,
""
,Girls in IT 2025,,,,
Starting Balance,,,,,$0.00
,2025-05-19,Donation,,$882.71,$882.71
Totals and Ending Balance,,,$0.00,$882.71,$882.71
Balance Change,,,$882.71,,
""
,Science Grant,,,,
Starting Balance,,,,,$0.00
,2025-09-19,Science Grant,,"$8,857.00","$8,857.00"
Totals and Ending Balance,,,$0.00,"$8,857.00","$8,857.00"
Balance Change,,,"$8,857.00",,
""
,4H Camps,,,,
Starting Balance,,,,,$0.00
,2025-09-26,Amazon,$84.96,,$84.96
,2025-09-26,Walmart,$42.75,,$127.71
Totals and Ending Balance,,,$127.71,$0.00,$127.71
Balance Change,,,$127.71,,
""
,Accounting Fees,,,,
Starting Balance,,,,,$0.00
,2025-02-23,Wave Apps Pro,$170.00,,$170.00
,2025-09-11,Transfer to J & M for accounting,"$1,000.00",,"$1,170.00"
Totals and Ending Balance,,,"$1,170.00",$0.00,"$1,170.00"
Balance Change,,,"$1,170.00",,
""
,Advertising & Promotion,,,,
Starting Balance,,,,,"$1,207.53"
,2025-01-03,Compass Farm Charactoers,$108.00,,"$1,315.53"
,2025-01-12,Advertisement Booth At Wold Lodge,$150.00,,"$1,465.53"
,2025-01-17,MakeStickers,$66.80,,"$1,532.33"
,2025-01-20,PC Name Tag,$264.22,,"$1,796.55"
,2025-01-21,Staples,$79.52,,"$1,876.07"
,2025-04-25,Amazon,$40.00,,"$1,916.07"
,2025-04-28,Queensboro,$158.82,,"$2,074.89"
,2025-05-23,Staples,$255.33,,"$2,330.22"
,2025-06-07,Murray Security,$15.00,,"$2,345.22"
,2025-06-07,Murray Security,$15.00,,"$2,360.22"
,2025-06-07,Murray Security,$15.00,,"$2,375.22"
,2025-06-07,Murray Security,$15.00,,"$2,390.22"
,2025-07-26,Imprint,$701.84,,"$3,092.06"
,2025-08-27,Makestickers,$125.99,,"$3,218.05"
,2025-10-21,Staples,$35.51,,"$3,253.56"
Totals and Ending Balance,,,"$2,046.03",$0.00,"$3,253.56"
Balance Change,,,"$2,046.03",,
""
,Bank Service Charges,,,,
Starting Balance,,,,,$0.00
,2025-04-29,Card Fee,$0.01,,$0.01
,2025-05-07,International Card Fee,$0.34,,$0.35
,2025-06-14,Paypal,$1.00,,$1.35
,2025-09-12,Remove Background,$0.01,,$1.36
,2025-09-19,International Card Fee,$0.40,,$1.76
,2025-10-19,International Fee,$0.40,,$2.16
Totals and Ending Balance,,,$2.16,$0.00,$2.16
Balance Change,,,$2.16,,
""
,Computer – Hardware,,,,
Starting Balance,,,,,"$3,602.94"
,2025-01-04,Amazon Purchase of Supplies,$406.52,,"$4,009.46"
,2025-01-19,Amazon Marketplace,$103.52,,"$4,112.98"
,2025-04-04,Amazon,$23.87,,"$4,136.85"
,2025-04-08,Amazon,$63.78,,"$4,200.63"
,2025-04-09,Amazon - Laptop Batteries,$190.40,,"$4,391.03"
,2025-04-25,Amazon,$125.33,,"$4,516.36"
,2025-05-29,Amazon - Laptop Charger,$14.05,,"$4,530.41"
,2025-06-24,Amazon,$169.73,,"$4,700.14"
,2025-07-22,Pueblo Arc,$24.00,,"$4,724.14"
,2025-07-28,Amazon,$29.71,,"$4,753.85"
,2025-08-01,Amazon,$10.86,,"$4,764.71"
,2025-08-13,Amazon - Keyboard,$21.45,,"$4,786.16"
,2025-08-14,Amazon,$84.99,,"$4,871.15"
,2025-08-16,New Horizons,$16.00,,"$4,887.15"
,2025-08-22,Amazon,$219.88,,"$5,107.03"
,2025-09-09,Amazon,$36.20,,"$5,143.23"
,2025-09-11,Amazon,$90.81,,"$5,234.04"
,2025-09-19,Amazon,$52.28,,"$5,286.32"
,2025-09-20,Amazon,$342.51,,"$5,628.83"
,2025-09-21,Amazon,$11.83,,"$5,640.66"
,2025-09-21,Amazon,$21.45,,"$5,662.11"
,2025-09-26,Amazon - Hard Drives,$106.12,,"$5,768.23"
,2025-10-01,Amazon,$317.68,,"$6,085.91"
,2025-10-01,Amazon - Hardware,$192.96,,"$6,278.87"
,2025-10-01,Amazon - Server items,$172.28,,"$6,451.15"
,2025-10-13,Amazon,$63.76,,"$6,514.91"
,2025-10-13,Amazon,$8.42,,"$6,523.33"
,2025-10-17,New Horizons,$17.00,,"$6,540.33"
,2025-10-26,Amazon,$566.88,,"$7,107.21"
,2025-10-30,Amazon,$116.58,,"$7,223.79"
,2025-10-31,Harbor Freight,$8.59,,"$7,232.38"
Totals and Ending Balance,,,"$3,629.44",$0.00,"$7,232.38"
Balance Change,,,"$3,629.44",,
""
,Computer – Hosting,,,,
Starting Balance,,,,,$0.00
,2025-01-06,WIX,$17.35,,$17.35
,2025-01-22,WIX,$228.00,,$245.35
Totals and Ending Balance,,,$245.35,$0.00,$245.35
Balance Change,,,$245.35,,
""
,Computer – Internet,,,,
Starting Balance,,,,,$259.80
,2025-01-16,SECOM,$64.95,,$324.75
,2025-02-19,SECOM,$64.95,,$389.70
,2025-03-18,SECOM,$64.95,,$454.65
,2025-04-16,SECOM,$64.95,,$519.60
,2025-05-16,SECOM,$64.95,,$584.55
,2025-06-17,SECOM,$64.95,,$649.50
,2025-07-16,SECOM,$64.95,,$714.45
,2025-08-19,SECOM,$64.95,,$779.40
,2025-09-16,SECOM,$64.95,,$844.35
,2025-10-16,SECOM,$64.95,,$909.30
Totals and Ending Balance,,,$649.50,$0.00,$909.30
Balance Change,,,$649.50,,
""
,Computer – Software,,,,
Starting Balance,,,,,"$1,546.74"
,2025-02-11,Tech Soup,$119.00,,"$1,665.74"
,2025-04-16,TeachersPayTeachers,$2.11,,"$1,667.85"
,2025-04-29,Send SMS Info,$1.14,,"$1,668.99"
,2025-05-07,Send SMS Info,$34.12,,"$1,703.11"
,2025-07-06,Microsoft Store,$29.99,,"$1,733.10"
,2025-08-08,Code Monkey,$750.00,,"$2,483.10"
,2025-09-12,Remove background,$1.00,,"$2,484.10"
,2025-09-19,Remove Background,$49.95,,"$2,534.05"
,2025-09-21,Pocketprep,$49.99,,"$2,584.04"
,2025-10-19,Remove Background,$49.95,,"$2,633.99"
Totals and Ending Balance,,,"$1,087.25",$0.00,"$2,633.99"
Balance Change,,,"$1,087.25",,
""
,Education & Training,,,,
Starting Balance,,,,,$10.00
,2025-02-04,School Choice,,$100.00,-$90.00
,2025-02-07,InnEdCo,$402.00,,$312.00
,2025-06-11,Beaver Run Resort,$307.26,,$619.26
,2025-07-09,Charlotte Ryan - Bill 1 - Internship,$500.00,,"$1,119.26"
,2025-08-11,Blaze AI,$157.14,,"$1,276.40"
,2025-08-13,Blaze AI,$157.14,,"$1,433.54"
,2025-09-12,Hotels dot com,"$1,391.15",,"$2,824.69"
,2025-10-07,STEMx Confernce,$588.73,,"$3,413.42"
,2025-10-07,Hotels.com,$254.88,,"$3,668.30"
Totals and Ending Balance,,,"$3,758.30",$100.00,"$3,668.30"
Balance Change,,,"$3,658.30",,
""
,Field Trip,,,,
Starting Balance,,,,,$0.00
,2025-01-29,Papa's Restaurant,$107.39,,$107.39
,2025-02-04,Cash Withdrawal,$200.00,,$307.39
Totals and Ending Balance,,,$307.39,$0.00,$307.39
Balance Change,,,$307.39,,
""
,Girls in IT,,,,
Starting Balance,,,,,$0.00
,2025-03-01,Amazon - Flying Orb,$106.09,,$106.09
,2025-03-11,Makestickers  - Girls in IT,$123.35,,$229.44
,2025-03-22,4 boys apparel  - T Shirts,$491.91,,$721.35
,2025-03-24,Amazon - 2 Give away Drones,$47.64,,$768.99
,2025-03-24,Amazon - ID Card Holders,$141.85,,$910.84
,2025-03-24,Amazon - Sunglasses,$61.41,,$972.25
,2025-03-25,Photo Backdrop,$51.08,,"$1,023.33"
,2025-04-04,Amazon,$54.07,,"$1,077.40"
,2025-04-16,Amazon - Door Prizes,$93.17,,"$1,170.57"
,2025-04-22,Crumbl Cookie,$40.00,,"$1,210.57"
,2025-04-23,Walmart,$35.02,,"$1,245.59"
,2025-04-24,Sam's Club,$162.97,,"$1,408.56"
,2025-04-24,Little Caesar's,$145.10,,"$1,553.66"
,2025-04-24,Walmart,$5.94,,"$1,559.60"
Totals and Ending Balance,,,"$1,559.60",$0.00,"$1,559.60"
Balance Change,,,"$1,559.60",,
""
,Government Fees,,,,
Starting Balance,,,,,$10.00
,2025-05-01,Colorado Secretary of State,$10.00,,$20.00
,2025-06-01,Colorado Secretary of State,$25.00,,$45.00
Totals and Ending Balance,,,$35.00,$0.00,$45.00
Balance Change,,,$35.00,,
""
,Insurance – Vehicles,,,,
Starting Balance,,,,,$202.80
,2025-01-24,Progressive,"$2,275.20",,"$2,478.00"
Totals and Ending Balance,,,"$2,275.20",$0.00,"$2,478.00"
Balance Change,,,"$2,275.20",,
""
,Intern,,,,
Starting Balance,,,,,$0.00
,2025-07-09,Cash Withdrawl,$500.00,,$500.00
,2025-07-17,Intern,$500.00,,"$1,000.00"
,2025-08-25,Payment to Intern,$500.00,,"$1,500.00"
Totals and Ending Balance,,,"$1,500.00",$0.00,"$1,500.00"
Balance Change,,,"$1,500.00",,
""
,League Entry Fees,,,,
Starting Balance,,,,,$560.00
,2025-01-28,National Cyber League,$350.00,,$910.00
,2025-02-08,National Cyber League,$105.00,,"$1,015.00"
,2025-02-09,National Cyber League,$70.00,,"$1,085.00"
,2025-09-03,National Cyber League,$450.00,,"$1,535.00"
,2025-09-23,National Cyber League,$45.00,,"$1,580.00"
,2025-10-07,National Cyber League,$45.00,,"$1,625.00"
,2025-10-14,National Cyber League,$55.00,,"$1,680.00"
Totals and Ending Balance,,,"$1,120.00",$0.00,"$1,680.00"
Balance Change,,,"$1,120.00",,
""
,License Fee,,,,
Starting Balance,,,,,$0.00
